

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
074.293  001.263  000.550: require('neorg.modules.core.norg.esupports.hop.module')
074.506  000.171  000.171: require('neorg.modules.core.norg.dirman.utils.module')
074.905  000.276  000.276: require('neorg.modules.core.norg.esupports.indent.module')
075.322  000.289  000.289: require('neorg.modules.core.norg.esupports.metagen.module')
075.876  000.450  000.450: require('neorg.modules.core.norg.journal.module')
077.782  000.328  000.328: require('plenary.bit')
077.824  000.028  000.028: require('ffi')
077.837  001.021  000.666: require('plenary.path')
077.904  001.611  000.589: require('plenary.scandir')
077.945  002.031  000.420: require('neorg.modules.core.norg.dirman.module')
078.189  000.193  000.193: require('neorg.modules.core.storage.module')
078.805  000.341  000.341: require('neorg.modules.core.norg.news.module')
079.401  000.334  000.334: require('neorg.modules.core.norg.qol.toc.module')
079.791  000.334  000.334: require('neorg.modules.core.norg.qol.todo_items.module')
080.167  000.266  000.266: require('neorg.modules.core.promo.module')
080.659  000.455  000.455: require('neorg.modules.core.syntax.module')
089.772  000.335  000.335: require('neorg.modules.core.tangle.module')
090.206  000.394  000.394: require('neorg.modules.core.upgrade.module')
090.375  000.157  000.157: require('neorg.modules.core.fs.module')
090.764  000.154  000.154: require('telescope._extensions.neorg.find_linkable')
092.762  000.336  000.336: require('plenary.strings')
092.972  000.205  000.205: require('telescope.deprecated')
093.962  000.343  000.343: require('plenary.log')
093.980  000.536  000.193: require('telescope.log')
094.661  000.194  000.194: require('telescope.state')
094.668  000.686  000.492: require('telescope.utils')
094.675  001.700  000.479: require('telescope.sorters')
096.480  004.511  002.269: require('telescope.config')
097.348  000.383  000.383: require('plenary.window.border')
097.534  000.183  000.183: require('plenary.window')
097.717  000.180  000.180: require('plenary.popup.utils')
097.721  001.235  000.489: require('plenary.popup')
098.131  000.408  000.408: require('telescope.pickers.scroller')
098.446  000.312  000.312: require('telescope.actions.state')
098.719  000.271  000.271: require('telescope.actions.utils')
099.447  000.343  000.343: require('telescope.actions.mt')
099.472  000.751  000.408: require('telescope.actions.set')
100.209  000.311  000.311: require('telescope.config.resolve')
100.213  000.739  000.428: require('telescope.pickers.entry_display')
100.428  000.213  000.213: require('telescope.from_entry')
100.751  009.728  001.289: require('telescope.actions')
102.261  001.212  001.212: require('telescope.make_entry')
103.638  000.224  000.224: require('plenary.tbl')
103.644  000.447  000.223: require('plenary.vararg.rotate')
103.645  000.604  000.156: require('plenary.vararg')
103.830  000.184  000.184: require('plenary.errors')
103.838  001.044  000.257: require('plenary.async.async')
104.762  000.231  000.231: require('plenary.async.structs')
104.770  000.513  000.281: require('plenary.async.control')
104.780  000.771  000.258: require('plenary.async.util')
104.782  000.939  000.169: require('plenary.async.tests')
104.786  002.245  000.262: require('plenary.async')
104.789  002.523  000.277: require('telescope.finders.async_static_finder')
105.623  000.233  000.233: require('plenary.class')
105.651  000.621  000.389: require('telescope._')
105.655  000.865  000.244: require('telescope.finders.async_oneshot_finder')
105.903  000.246  000.246: require('telescope.finders.async_job_finder')
105.912  005.158  000.313: require('telescope.finders')
107.580  000.219  000.219: require('telescope._extensions')
107.585  000.461  000.242: require('telescope')
107.932  000.345  000.345: require('telescope.debounce')
108.326  000.390  000.390: require('telescope.mappings')
108.604  000.275  000.275: require('telescope.pickers.highlights')
108.811  000.204  000.204: require('telescope.pickers.window')
